Title,Author,URL,Bias,Description,Male,Male Positive,Male Negative,Male Neutral,Female,Female Positive,Female Negative,Female Neutral,White,White Positive,White Negative,White Neutral,Non-white,Non-white Positive,Non-white Negative,Non-white Neutral,Wealthy,Wealthy Positive,Wealthy Negative,Wealthy Neutral,Non-wealthy,Non-wealthy Positive,Non-wealthy Negative,Non-wealthy Neutral
The Beautiful and Damned,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/690.txt.utf-8,class bias,The fall of a couple who aspires to high society reveals the shallow allure and ultimate despair of the American aristocracy in the 1920s.,certain new good different large full main revolutionary capitalist national civilized higher open long larger moral political vital vigorous conscious,certain new good large full main revolutionary civilized higher open larger moral political vital vigorous conscious,different capitalist,national long,free true human general modern willing natural easy young real complete rich single mere harmful similar difficult communal serious collective,free true human modern willing natural easy young real complete rich serious collective,harmful difficult,general single mere similar communal,present necessary whole possible public common French individual less American physical criminal considerable powerful democratic second least equal orthodox financial,Present necessary whole possible individual physical considerable powerful Democratic equal financial,Common less criminal least Orthodox,public French American second,economic great industrial private able last actual various local scientific disagreeable advanced immediate military spontaneous dead excessive greatest pleasant strongest,economic great industrial private able local scientific advanced immediate military spontaneous greatest pleasant strongest,disagreeable dead excessive last,actual various,political much great important electronic impossible social likely small creative ordinary strong sufficient direct desirable contrary bad compatible capable international,political great important social likely creative strong sufficient direct desirable capable international compatible,sorry impossible ordinary contrary bad,much electronic small,many first better old best little German greater useful clear technical fundamental due international Russian ultimate essential difficult mental popular,first better best useful clear fundamental essential mental popular technical greater,old difficult,many little German due international Russian ultimate
Ann Veronica,H.G. Wells,https://www.gutenberg.org/ebooks/524.txt.utf-8,gender bias,"The novel tackles gender bias by chronicling a young woman's fight for independence and her desire to study science, set against the restrictive social norms of Edwardian England that limit women's choices and freedoms.",long fine next best difficult quiet easy true various intellectual biological friendly remarkable red ready reasonable vague horrible sudden warm,fine best easy true intellectual biological friendly remarkable ready reasonable warm,difficult quiet vague horrible sudden,long next various red,last new certain small many glad real bad confused happy better tall feminine passionate active quick less immense equal like,new certain glad real happy better tall feminine passionate active quick immense equal,last small bad confused less,many like,young great beautiful first clear better human least aware social able important dark deep blue light clean poor particular stupid,Young great beautiful first clear better human aware social able important deep light clean particular,Least dark blue poor stupid,#N/A,dear bright sure present modern first wrong disagreeable thin foolish angry fair new married helpful emotional respectable previous direct uncomfortable,dear bright sure present modern first fair new married helpful emotional respectable previous direct,wrong disagreeable thin foolish angry uncomfortable,#N/A,much old white hard electronic black .... impossible general interested curious second mere natural wild sorry busy pleasant common alive,interested curious natural busy pleasant alive,sorry impossible wild old,much white hard electronic black .... general second mere common,little good free full possible whole right large open different afraid strong wonderful big old personal high splendid odd up-stairs,good free full right open strong wonderful high splendid possible,little afraid old odd,whole large different big personal up-stairs
Tess of the d'Urbervilles,Thomas Hardy,https://www.gutenberg.org/cache/epub/110/pg110.txt,gender and class bias,"This narrative details the downfall of a young woman due to the prevailing class and gender prejudices of Victorian society, which condemn her for her sexuality and deny her the autonomy to control her destiny.",much better sure dry certain heavy green fine low lower to-day pretty previous human sufficient original local longer youngest slow,better sure certain fine pretty human sufficient original longer,dry low lower slow,much heavy green to-day previous local youngest,’ white many full dead able slight real cold warm mere aware mental temporary soft vague terrible gentle dearest afraid,full real warm aware mental soft gentle dearest able,slight cold temporary vague terrible afraid,’ white many dead mere,long Marian usual black early sudden hard general simple wrong light ‘ deep foolish thy strong hot close worse single,Early light deep strong,Hard simple wrong worse,long Marian usual black sudden general ‘ foolish thy hot close single,young poor red second late anxious regular serious curious thin momentary practical tall third higher clear greater odd easy secret,young late curious practical tall higher clear greater easy ,poor anxious secret odd,red second regular serious thin momentary third,old first little new “ possible bad natural particular past common beautiful rich necessary visible younger right gray high private,first new possible natural particular beautiful rich necessary visible younger right high private,bad old  common gray,little “ past,” ’ “ last good little great true large present whole least less next dear small open best strange former,good great true present dear open best,last least less small strange,” ’ “ little large whole next former
The Tenant of Wildfell Hall,Anne Bronte,https://www.gutenberg.org/ebooks/969.txt.utf-8,gender bias,The protagonist's struggles to assert her independence and the right to personal happiness challenge the restrictive gender norms of the Victorian era.,first former ” short whole new low hard serious worse different light ‘ second painful large electronic contrary natural greatest,first whole new serious light natural greatest,former short low hard worse painful contrary,” different ‘ second large electronic,last least poor ” late black sweet anxious miserable — dark single delightful real calm to-morrow perfect important greater worst,sweet delightful real calm perfect important greater,last least poor late anxious miserable dark worst,” black — single to-morrow,little true bitter small several ready future bright strong deep pale sensible distant latter busy generous likely rough steady angry,True ready bright strong sensible busy generous steady deep,Little bitter small pale distant rough angry,several future latter likely,’ better old sure best cold fine particular little strange sad cheerful clear immediate glorious selfish wish easy active evident,better sure best fine particular cheerful clear glorious easy active evident,old sad selfish wish cold little strange,’ immediate,much ’ many full happy it. sudden glad right soft wild agreeable past proper willing free secret superior wicked unhappy,full happy sudden glad right soft agreeable proper willing free superior,wicked unhappy wild secret,much ’ many it. past,” “ good little young present long great quiet next usual certain dear less fair able silent bad slight false,good young dear fair present great certain able,quiet usual less silent false,” “ little long next bad slight
The Great Gatsby,F. Scott Fitzgerald,https://www.gutenberg.org/ebooks/64317.txt.utf-8,class/racial/gender bias,"The opulence of the Jazz Age thinly veils deep-seated class divisions, racial tensions, and gender politics, as characters navigate a world of wealth and status, with tragic outcomes.",” new first hard cold ’ single late beautiful particular cheerful thick ‘ nervous secret constant excited French … loud,new first beautiful cheerful constant excited,hard cold late nervous secret loud,” ’ single particular thick ‘ French …,long open big high several certain real unfamiliar hundred complete poor lower green sudden polite lovely red upper golden mixed,open big high certain real complete polite lovely upper golden,unfamiliar poor lower,long several hundred green sudden red mixed,’ young small full “ yellow front deep large free black terrible sad thin fine strange reluctant sharp common persistent,Young full front deep large free fine persistent,Terrible sad thin strange small reluctant sharp common,’ “ yellow black,’ little many right bright bad cool enormous second wild low physical romantic sure green rich aware glad silent invisible,right bright romantic sure rich aware glad ,bad cool enormous low physical wild silent invisible,’ little many second green,“ white much blue least nice it. funny fantastic wide Good funeral true best able vague interested less Next soft,nice funny fantastic wide good true best able interested soft,least vague funeral less,“ white much blue it. Next,old last electronic first great next good hot whole dark short curious dead warm better light pale crazy fresh fifty,first great good hot whole curious warm better light pale fresh fifty,old last dark short dead crazy,electronic next
Heart of Darkness,Joseph Conrad,https://www.gutenberg.org/ebooks/219.txt.utf-8,racial bias,"This novella exposes racial biases through the eyes of European colonizers in Africa, portraying Africans as the ""other"" and perpetuating stereotypes of savagery and darkness, mirroring the imperialistic attitudes of the time.",great much many heavy small empty immense quiet anxious wide narrow real various amazing hot enough fantastic natural considerable cold,great immense real amazing hot enough fantastic natural considerable,heavy small empty quiet anxious narrow cold,much many wide various,‘ good electronic full dead least several sudden fine better physical bad silent beautiful strange open inconceivable tall nose possible,good full fine better physical beautiful open tall possible,dead least physical bad silent strange inconceivable,‘ electronic several sudden nose,white first long young simple forest difficult broad certain mysterious light fierce English serious awful particular general alive incredible bright,First Young certain light fierce particular alive incredible bright,Simple difficult mysterious serious awful,white long forest broad English general,deep free wild true new terrible remarkable dark greatest extreme upper thin warm blue thick gloomy special monstrous complete safe,deep free true new remarkable greatest upper warm special safe complete,terrible dark gloomy monstrous wild extreme,thin blue thick,last short clear large impossible dear sure sick poor best vast extraordinary magnificent sombre dangerous absurd certain unearthly intense excellent,clear large dear sure best extraordinary magnificent certain intense excellent,sick poor sombre absurd unearthly impossible dangerous,last short vast,’ little black old “ high big human low whole right next second aware red curious ready ominous Good flat,high right curious ready Good flat human,little old low aware ominous,’ black “ big whole next second red
The Invisible Man,H.G. Wells,https://www.gutenberg.org/ebooks/5230.txt.utf-8,class bias,"Class bias is demonstrated through the tale of a scientist who, after turning himself invisible, becomes detached from society, examining how invisibility amplifies the social isolation and class disparities he experiences.",open invisible right young free hot lower muffled common quick hard brilliant yellow third back particular able gloved least easy,open right young free hot quick brilliant particular able easy,invisible lower muffled common hard least,yellow third back gloved,“ little ” last full curious possible great big better front dark blue long much remarkable general aware broken vivid,curious possible great big better front remarkable aware vivid,last dark blue broken,“ little ” full long much general,” strange certain cold angry silent refractive dirty thin sharp scientific straight locked impossible ordinary alive vast spasmodic wild ready,Certain refractive scientific alive ready,strange cold angry silent dirty thin sharp impossible ordinary spasmodic wild,” straight locked vast,’ old electronic good black quiet extraordinary ‘ painful light dressing-gown odd public frightful slightest brief excited surprised defective theatrical,good extraordinary light public brief excited surprised,painful odd frightful slightest defective theatrical old quiet,’ electronic black ‘ dressing-gown,’ first visible whole huge new rapid sudden extra-ordinary frantic green sure mad clear large incredible silly slow Good outside,first visible whole huge new rapid extra-ordinary sure clear large incredible good outside,mad silly slow frantic,’ sudden green,Invisible white empty invisible second human short red unseen next wide heavy wonderful private horrible nervous small low anxious strong,better beautiful deep handsome present unexpected human wonderful strong,invisible empty heavy horrible nervous anxious unseen,white second short red next wide private small low
The Age of Innocence,Edith Wharton,https://www.gutenberg.org/ebooks/541.txt.utf-8,class bias,"The return to the pre-war New York high society, this novel delves into the intricacies and prejudices of class distinctions and the sacrifices made for maintaining one’s place in the social hierarchy.",young last poor white real right bad foreign least many fashionable natural unpleasant big perfect married past due moral angry,young real right fashionable natural big perfect married moral,last poor bad foreign least unpleasant angry,white many past due,old new small low old-fashioned red unhappy general fair safe odd considerable simple sensitive common American mere professional older senior,new considerable simple sensitive professional fair safe,old low old-fashioned unhappy older senior odd small common,red general American mere,usual pale social certain happy familiar yellow least slight second clear open blue easy Italian short unknown light hard English,Social certain happy familiar clear open easy light,least hard short unknown,usual pale yellow slight second blue Italian English,dear great full many private less whole true strange mysterious high public tall complete possible wide early foolish previous wonderful,dear great private true high tall complete possible early wonderful,less whole foolish strange mysterious,full many public wide previous,little long young first good much large best silent aware free sudden able conscious dark empty thin European rare fresh, long young first good much large best aware free sudden able conscious rare fresh,aware little silent dark empty,thin European,old sure next black different electronic better afraid quiet French impossible particular pretty beautiful late secret deep handsome present unexpected,sure better particular pretty beautiful deep handsome present unexpected,old impossible afraid quiet late secret,next black different electronic French
Pride and Prejudice,Jane Austen,https://www.gutenberg.org/ebooks/1342.txt.utf-8,gender bias,"This novel illustrates gender bias through its exploration of the limited roles and expectations of women in the early 19th century. Women are often seen as commodities whose value is tied to marriage and their social standing, rather than their intelligence or abilities.",” great many last ’ likely new greater sorry several slight strong late civil high bad difficult probable public considerable,great greater strong civil high considerable,last sorry slight late bad difficult,many likely new several probable public,least next present less necessary long common delightful fine ill best pleasant fair evident right tolerable painful frequent principal affectionate,present necessary delightful fine best pleasant fair right tolerable frequent affectionate,least less common ill painful,next long evident principal,“ dear short real Lady natural enough anxious afraid early greatest silent ready it. extraordinary sister respectable disagreeable angry unhappy,Dear real natural enough early greatest ready extraordinary sister respectable Lady,Short anxious afraid silent disagreeable angry unhappy,“ it.,good ” possible agreeable impossible handsome second younger easy proper perfect dearest immediate elegant unable half him. grateful comfortable important,good possible agreeable handsome second younger easy proper perfect dearest immediate elegant grateful comfortable important,impossible unable half,” him.,first able good former sensible full electronic serious small large superior eldest capable interesting excellent youngest following fortunate false aware,first able good former sensible full electronic serious small large superior eldest capable interesting excellent youngest following fortunate false aware,first good sensible full eldest superior capable interesting excellent youngest,#N/A,much little young sure happy certain better general whole different amiable usual poor equal particular glad pleased true best proud,young sure happy certain better whole amiable equal particular glad pleased true best proud,little usual poor,much general different
Emma,Jane Austen,https://www.gutenberg.org/ebooks/158.txt.utf-8,gender and class bias,"In this novel, the protagonist's snobbery and matchmaking blunders highlight the rigid gender roles and class hierarchies of early 19th-century England, as she navigates through her social circle trying to arrange marriages that align with her preconceived prejudices.",first best proper real happy different right delightful necessary aware longer late disagreeable wish dearest immediate worth fresh inferior charming,first best proper real happy right delightful necessary aware longer dearest worth fresh charming,late disagreeable inferior,different wish immediate,little poor great least next sure new amiable many wrong natural open sensible less warm pretty sudden busy mere to-morrow,great sure new amiable natural open sensible warm pretty busy,little poor least wrong,next many less sudden mere to-morrow,good young dear last ready bad long agreeable usual particular fine serious greatest certain electronic handsome interesting silent due large,Good young dear ready agreeable particular fine greatest handsome interesting certain,Bad serious silent last,long usual electronic due large,” “ great sure old first full whole pleasant comfortable small easy perfect reasonable useful considerable complete sorry worst severe,great sure first whole pleasant comfortable easy perfect reasonable useful considerable complete ,sorry worst severe small old,” “ full,much better many possible able superior true strong impossible common second quiet fair worse cheerful safe farther sweet desirable musical,better many possible able superior true strong fair cheerful safe sweet desirable musical,worse impossible common quiet,much second farther,little happy present ” general ’ short afraid equal glad likely early anxious greater it. cold excellent elegant extraordinary odd,happy present equal glad early greater excellent elegant extraordinary,short afraid anxious cold odd,little ” general ’ likely it.
Dracula,Bram Stoker,https://www.gutenberg.org/ebooks/345.txt.utf-8,class/gender bias,"The classic horror story, while a tale of supernatural and gothic elements, also alludes to class divisions and gender roles in the Victorian society.",’ dear whole sweet big free quick least hard old better beautiful poor wide deep to-day lest anxious early fair,dear whole sweet big free better beautiful wide deep early fair,least hard old poor anxious,’ quick to-day lest,good last poor much full long high possible late diary awful horrible bitter odd real simple careful less enough easy,good full high possible real careful enough easy,last poor late awful horrible bitter odd simple less,much long diary,old ” many new low quiet bad dear Un-Dead short lunatic dearest Good fearful considerable useful grim latter clear unknown,New dear dearest good considerable useful clear,Old low quiet bad dead short lunatic fearful grim unknown,” many Un-Dead latter,great first red true happy long dark best young pale black fresh noble evident to-morrow complete secret soft various impossible,great first true happy best young fresh noble evident complete soft ,impossible dark secret,red long pale black to-morrow various,ready strong present sure next thin cold afraid glad wonderful empty second instant fine sudden greater excellent fierce several personal,ready strong present sure next thin wonderful empty second instant fine sudden greater excellent fierce several personal glad,cold afraid empty sudden,#N/A,little “ white terrible strange good dead open to-night heavy able much small certain wild right silent usual sad electronic,good open able certain right,terrible strange heavy small wild silent usual sad,little “ white dead to-night much electronic
Mansfield Park,Jane Austen,https://www.gutenberg.org/ebooks/141.txt.utf-8,class bias,"Austen addresses class bias through Fanny Price's experiences at Mansfield Park, where her lower social status among her wealthy relatives dictates her treatment and limits her opportunities.",first least ” able poor old fine early glad happy wrong common likely better last important quick silent respectable hot,first able fine early glad happy better important quick respectable hot,least poor old wrong common last silent,likely,great ” last best impossible ’ greatest serious new usual worse high fair pleasant proper former “ late private human,great best greatest new high pleasant proper human fair,impossiblke serious wrose late,” last impossible ’ usual worse former “ private,little sure ready less much necessary second enough certain worth dearest Lady open sensible decided it. gentle wonderful sufficient perfect,sure ready necessary enough certain worth dearest lady open sensible decided gentle wonderful sufficient perfect,little less,much second it.,much dear general better possible “ bad whole sorry real easy eldest public particular smallest delightful eager little sudden favourable,much dear general better possible eldest public particular delightful eager favourable whole real easy,bad sorry little,“ smallest sudden,good young first different next short agreeable greater natural anxious small useful equal comfortable quiet immediate safe warm due welcome,good young first next agreeable greater natural useful equal comfortable quiet immediate safe warm welcome,anxious due different,short small,many little happy present “ long full much strong right aware true angry great electronic large capable afraid excellent longer,happy present strong right aware true great capable excellent,little angry afraid,many “ long full much electronic large longer
